Investors,Name in PEI Event List,Primary Investor Type,HQ Country/Territory/Region,HQ Location,AUM,PE Category,Investments,Active Portfolio,Exits,Investments in the last 12 months,Dry Powder,Last Investment Company,Description
Rothschild & Co,Five Arrows/Rothschild & Co.,Merchant Banking Firm,France,"Paris, France",43420.86,3. 25B-50B AUM,217,28,71,11,4602.38,Solar Cloth System,"Rothschild & Co is an investment bank that provides a wide array of services such as mergers and acquisitions, debt and equity financing, debt advisory and restructuring, privatizations and valuations to governments, companies and individuals. The firm caters to the healthcare, hotel and leisure, industrial products, infrastructure, retail, telecommunications, transportation, financial services, media and information technology sectors."
Rubicon Technology Partners,Rubicon Technology Partners,PE/Buyout,United States,"Boulder, CO",4271.2,6. 1B-5B AUM,73,14,11,10,1626.56,,"Founded in 2012, Rubicon Technology Partners is a private equity firm based in Boulder, Colorado. The firm seeks to invest in companies operating in the enterprise software sector. This firm is a Registered Investment Adviser (RIA)."
SaxeCap,SaxeCap,PE/Buyout,United States,"San Francisco, CA",100,6. 1B-5B AUM,107,83,22,10,,,"Founded in 2017, SaxeCap is a private equity investment firm based in San Francisco, California. The firm seeks to invest in education, software, financial services, and healthcare sectors with a focus on artificial intelligence and automation. This firm is a Registered Investment Adviser (RIA)."
SBJ Capital,SBJ Capital,PE/Buyout,United States,"Walnut Creek, CA",590,7. 500M-1B AUM,41,13,7,1,95.21,,"Founded in 2013, SBJ Capital is a private equity and growth capital firm based in Walnut Creek, California. The firm focuses on leading investments in founder and family-owned consumer, business services, and healthcare services companies. This firm is a Registered Investment Adviser (RIA)."
Serent Capital,Serent Capital,PE/Buyout,United States,"San Francisco, CA",5000,5. 5B-10B AUM,177,46,37,13,663.93,GovWorx,"Founded in 2008, Serent Capital is a private equity firm based in San Francisco, California. The firm seeks to invest in companies operating in software-as-a-service and service business models in the business, education, financial, business-to-business, and healthcare industries. This firm is a Registered Investment Adviser (RIA)."
Shamrock Capital Partners,Shamrock Capital,Venture Capital,United States,"Greensboro, NC",3800,6. 1B-5B AUM,10,,8,,,Siyata Mobile,"Founded in 2003, Shamrock Capital Partners is a private equity firm headquartered in Greensboro, North Carolina. The firm seeks to invest in companies operating in the healthcare, software, real estate, technology, and consumer retail products sectors across the United States. The firm employs a core investment strategy."
Shore Capital Partners,Shore Capital Partners,PE/Buyout,United States,"Chicago, IL",12500,4. 10B-25B AUM,1117,84,20,140,2689.13,Lighthouse Packaging,"Founded in 2009, Shore Capital Partners is a private equity investment firm based in Chicago, Illinois. The firm prefers to invest in companies operating in the healthcare, food & beverage, business services, and real estate sectors in the United States. This firm is a Registered Investment Adviser (RIA)."
Silver Lake,Silver Lake Partners,PE/Buyout,United States,"Menlo Park, CA",103954.72,1. 100B+ AUM,1046,114,202,79,18065.44,,"Founded in 1999, Silver Lake is a private equity firm headquartered in Menlo Park, California. The firm prefers to invest in companies operating in technology sectors. This firm is a Registered Investment Adviser (RIA)."
Sixth Street Partners,Sixth Street,Growth/Expansion,United States,"San Francisco, CA",110000,1. 100B+ AUM,237,93,42,41,10923.16,,"Founded in 2009, Sixth Street Partners is a growth/expansion investment firm based in San Francisco, California. The firm prefers to invest in agriculture, digital strategies, business services, data infrastructure, financial services, consumer, internet, energy, healthcare, life sciences, real estate, renewables, retail, technology, software, telecom, sports, entertainment, and media sectors. This firm is a Registered Investment Adviser (RIA)."
SkyKnight Capital,SkyKnight Capital,PE/Buyout,United States,"San Francisco, CA",3997.5,6. 1B-5B AUM,176,20,6,26,1609.94,The Skin Care Center,"Founded in 2015, SkyKnight Capital is a private equity firm based in San Francisco, California. The firm focuses on healthcare, financial services, and tech-enabled sectors."
Spectrum Equity,Spectrum Equity,Growth/Expansion,United States,"Boston, MA",7380,5. 5B-10B AUM,339,38,139,8,2365.76,Awardco,"Founded in 1994, Spectrum Equity is a growth investment firm based in Boston, Massachusetts. The firm has an additional office in San Francisco. The firm seeks to invest in companies operating in the information, software, internet, and data services sectors. This firm is a Registered Investment Adviser (RIA)."
Stage 2 Capital,Stage 2 Capital,Venture Capital,United States,"New York, NY",,8. N/A,96,66,7,20,92.95,,"Founded in 2018, Stage 2 Capital is a venture capital investment firm based in New York, New York. The firm prefers to invest in early-stage B2B companies operating in the software sector, focusing on finance technology and dev tools like video, creator economy, healthcare information technology, marketplaces, application software-as-a-service, and vertical software sectors."
Strattam Capital,Strattam Capital,PE/Buyout,United States,"Austin, TX",1019,6. 1B-5B AUM,52,12,4,1,205.5,eLabNext,"Founded in 2013, Strattam Capital is a private equity firm based in Austin, Texas. The firm prefers to invest in companies operating in the business information technology, enterprise software, digital infrastructure, and technology-enabled service sectors. In partnership with founders, the firm makes majority equity investments in established business IT companies across North America. This firm is a Registered Investment Adviser (RIA)."
Stride Consumer Partners,Stride Consumer Partners,PE/Buyout,United States,"Boston, MA",678,7. 500M-1B AUM,9,9,,,242.05,Serenity Kids,"Founded in 2019, Stride Consumer Partners is a private equity investment firm based in Boston, Massachusetts. The firm seeks to invest in the consumer brands sector. This firm is a Registered Investment Adviser (RIA)."
Summit Partners,Summit Partners,PE/Buyout,United States,"Boston, MA",34741.17,3. 25B-50B AUM,1183,123,468,41,19147.71,RIS Rx,"Founded in 1984, Summit Partners is a private equity firm based in Boston, Massachusetts. The firm seeks to invest in companies operating in the technology, healthcare & life sciences, growth products & services sectors. This firm is a Registered Investment Adviser (RIA)."
TELEO Capital,TELEO Capital,PE/Buyout,United States,"Boise, ID",679,7. 500M-1B AUM,18,10,,1,70.07,SOFTRAX,"Founded in 2018, TELEO Capital is a private equity firm based in Boise, Idaho. The firm seeks to invest in companies operating in the software, technology, healthcare information technology, business services, and industrial sectors. This firm is a Registered Investment Adviser (RIA)."
Terramont Infrastructure Partners,Terramont Infrastructure Partners,Infrastructure,United States,"New York, NY",161.19,6. 1B-5B AUM,7,4,,2,,,"Founded in 2019, Terramont Infrastructure Partners is an infrastructure firm based in New York, New York. The firm prefers to invest in renewables, power & energy, transportation, environment, digital, and social services sectors. The firm employs a value-added investment strategy."
The Brydon Group,The Brydon Group,PE/Buyout,United States,"Washington, DC",270,6. 1B-5B AUM,18,13,1,8,218.44,Safety and Security Instruction,"Founded in 2020, The Brydon Group is a combat veteran-led $270MM committed capital Private Equity firm based in Washington, DC. The firm is focused on partnering with mid-career operators to acquire outstanding businesses in business-to-business, business-to-government, and healthcare software and services."
The Carlyle Group (NAS: CG),The Carlyle Group,PE/Buyout,United States,"Washington, DC",453000,1. 100B+ AUM,2965,324,1192,166,45213.78,,"Founded in 1987, The Carlyle Group is a private equity firm based in Washington, District of Columbia. The firm prefers to invest in companies operating in the aerospace, government services, consumer, media, retail, financial services, aviation finance, energy, real estate, healthcare, infrastructure, industrial, technology, and transportation sectors. This firm is a Registered Investment Adviser (RIA)."
The Sterling Group,The Sterling Group,PE/Buyout,United States,"Houston, TX",9400,5. 5B-10B AUM,257,19,70,25,4590.87,Raider Hansen,"Founded in 1982, The Sterling Group is a private equity firm based in Houston, Texas. The firm seeks to make private equity and private credit investments with a focus on manufacturing, distribution, industrial services and business services sectors. This firm is a Registered Investment Adviser (RIA)."
Thoma Bravo,Thoma Bravo,PE/Buyout,United States,"Chicago, IL",184000,1. 100B+ AUM,591,76,138,55,48785.38,,"Founded in 1980, Thoma Bravo is a private equity firm headquartered in Chicago, Illinois. The firm seeks to invest in B2B, financial services, healthcare, information technology, infrastructure & cybersecurity sectors based in the United States region. This firm is a Registered Investment Adviser (RIA)."
Tide Rock,Tide Rock,PE/Buyout,United States,"Solana Beach, CA",,8. N/A,47,20,8,5,0.1,Hutchens Yieldco,"Founded in 2013, Tide Rock is a private equity firm based in Cardiff, California. The firm seeks to invest in business services, transportation & logistics, distribution, manufacturing, and food & beverage sectors on the West Coast, Northwest, and Southwest."
TowerBrook Capital Partners,TowerBrook,PE/Buyout,United Kingdom,"London, United Kingdom",22452.22,4. 10B-25B AUM,457,58,145,53,5746.69,We Are Ona,"Founded in 2001, TowerBrook Capital Partners is a private equity investment firm headquartered in London, United Kingdom. The firm prefers to invest in the healthcare, commercial products, manufacturing, and information technology sectors. The firm has additional offices in Frankfurt, Madrid, New York, and Paris."
TPG (NAS: TPG),TPG,PE/Buyout,United States,"Fort Worth, TX",246000,1. 100B+ AUM,2001,254,817,141,56959.62,Cliffwater,"Founded in 1992, TPG is a private equity firm headquartered in Fort Worth, Texas. The firm provides growth capital and prefers to invest in companies operating in the consumer, healthcare, business services, internet, digital media & communications, software, and enterprise technology sectors. The firm also makes impact and real estate investments. This firm is a Registered Investment Adviser (RIA)."
Trive Capital,Trive Capital,PE/Buyout,United States,"Dallas, TX",8000,5. 5B-10B AUM,191,44,32,24,3299.69,Capital City Heating and Cooling,"Founded in 2012, Trive Capital is a private equity investment firm based in Dallas, Texas. The firm seeks to invest in companies operating in aerospace & defense, automotive, building products, business services, chemicals, engineering & infrastructure, consumer goods, energy services, food & beverage, healthcare, manufacturing, plastics & packaging, technology, media & telecom, real estate, and transportation & logistics sectors across North America. This firm is a Registered Investment Adviser (RIA)."
Turn/River Capital,Turn/River Capital,Growth/Expansion,United States,"San Francisco, CA",4862,6. 1B-5B AUM,36,6,14,2,3332.5,SolarWinds,"Founded in 2011, Turn/River Capital is a growth equity firm based in San Francisco, California. The firm prefers to invest in companies operating in software sector. This firm is a Registered Investment Adviser (RIA)."
Updata Partners,Updata Partners,Growth/Expansion,United States,"Washington, DC",1738,6. 1B-5B AUM,168,32,56,9,450.21,StarWind,"Founded in 1998, Updata Partners is a private equity growth firm headquartered in Washington, District of Columbia. The firm specializes in private equity and makes seed-stage, early-stage, growth-stage, and later-stage investments in business products, business services, consumer products, consumer services, and information technology sectors across the United States."
Veritas Capital,Veritas Capital,PE/Buyout,United States,"New York, NY",50000,2. 50B-100B AUM,158,19,50,4,4911.62,Edifecs,"Founded in 1992, Veritas Capital is a private equity investment firm based in New York, New York. The firm seeks to invest in technology companies operating in the software, aerospace & defense, communications, education, energy, national security, healthcare, and government services sectors. This firm is a Registered Investment Adviser (RIA)."
Vista Equity Partners,Vista Equity Partners,PE/Buyout,United States,"Austin, TX",100000,2. 50B-100B AUM,673,112,119,48,16375.73,Amtech Software,"Founded in 2000, Vista Equity Partners is a private equity firm based in Austin, Texas. The firm prefers to invest in software, agriculture, construction, education, energy, financial services, government, healthcare, hospitality, insurance, legal, marketing, media, entertainment, real estate, retail, security, telecom, transportation, and technology-enabled business sectors based in Europe and North America. This firm is a Registered Investment Adviser (RIA)."
Vistria Group,The Vistria Group,PE/Buyout,United States,"Chicago, IL",16000,4. 10B-25B AUM,149,40,11,21,3687.75,Home Care Now (Home Care in Central Florida,"Founded in 2013, Vistria Group is a middle-market private equity firm based in Chicago, Illinois. The firm seeks to invest in B2B, non-financial services, financial services, healthcare, education technology, industrials & health technology sectors based in the United States region. This firm is a Registered Investment Adviser (RIA)."
Warburg Pincus,Warburg Pincus,PE/Buyout,United States,"New York, NY",87000,2. 50B-100B AUM,2200,340,841,144,19656.88,Miami International,"Founded in 1966, Warburg Pincus is a private equity investment firm headquartered in New York, New York. The firm prefers to invest in consumer, energy transition & sustainability, financial services, healthcare, industrial & business services, real estate, and technology sector companies based in America, Europe, China, Southeast Asia, and India. This firm is a Registered Investment Adviser (RIA)."
"Welsh, Carson, Anderson & Stowe",Welsh Carson Anderson & Stowe,PE/Buyout,United States,"New York, NY",13374,4. 10B-25B AUM,451,30,174,10,3565.76,AllazoHealth,"Founded in 1979, Welsh, Carson, Anderson & Stowe is a private equity firm based in New York, New York. The firm prefers to invest in companies operating in the healthcare and technology sectors. This firm is a Registered Investment Adviser (RIA)."
Wynnchurch Capital,Wynnchurch,PE/Buyout,United States,"Rosemont, IL",8600,5. 5B-10B AUM,169,34,65,18,3306.49,,"Founded in 1999, Wynnchurch Capital is a private equity firm based in Rosemont, Illinois. The firm seeks to invest in companies operating in aerospace, defence, and government, building products and materials, consumer and food, energy, natural resources, infrastructure, manufacturing, industrial and transportation, business service, and distribution sectors. This firm is a Registered Investment Adviser (RIA)."
Amulet Capital Partners,Amulet Capital Partners,PE/Buyout,United States,"Greenwich, CT",3100,6. 1B-5B AUM,50,13,4,7,1044.17,,"Founded in 2015, Amulet Capital Partners is a private equity firm based in Greenwich, Connecticut. The firm prefers to invest in the healthcare sector. This firm is a Registered Investment Adviser (RIA)."
Seaside Equity Partners,Seaside Equity Partners,PE/Buyout,United States,"San Diego, CA",605,7. 500M-1B AUM,38,12,2,3,354.17,,"Founded in 2017, Seaside Equity Partners is a private equity investment firm headquartered in San Diego, California. The firm seeks to invest companies operating in the commercial services, business services and tech enabled services across the Western United States. This firm is a Registered Investment Adviser (RIA)."
Vector Capital (California),Vector Capital,PE/Buyout,United States,"San Francisco, CA",4069,6. 1B-5B AUM,160,23,61,7,751.9,,"Founded in 1997, Vector Capital is a private equity investment firm based in San Francisco, California. The firm has spun out of Ziff Brothers Investments, a family investment firm. The firm prefers to invest in the technology sector. The firm exclusively focuses on investments within the technology sector and have built a successful track record of executing buyouts, carve-outs, recapitalizations, and minority, and credit investments. This firm is a Registered Investment Adviser (RIA)."
